virus,realm,locus_tag,host,type,shape,corr,p.value
Protoparvovirus Zsana/2013/HUN,Monodnaviria,FLA09,vertebrates,DNA,linear,-0.232094530207738,0.0913095967746228
Bacillus phage Waukesha92,Duplodnaviria,Waukesha92,bacteria,DNA,linear,-0.424488603156049,0.000894397630580849
Cassava Ivorian bacilliform virus,Riboviria,PO00,land plants,ss-RNA,linear,-0.397486849795441,0.00196839013173018
Aeromonas phage 25AhydR2PP,Duplodnaviria,HOT20,bacteria,DNA,linear,0.348509643483343,0.00709995466012084
Nitrincola phage 1M3-16,Duplodnaviria,GJ22,bacteria,DNA,circular,-0.312215078901227,0.0164113192164513
Pseudomonas phage Bjorn,Duplodnaviria,FDJ28,bacteria,DNA,linear,0.516656925774401,3.64824466165071e-05
Pandoravirus neocaledonia,unclassified viruses,pneo,protozoa,DNA,linear,0.265458796025716,0.0424537732429866
Cluster bean endornavirus 1,Riboviria,EXL51,land plants,RNA,linear,-0.495032144944477,8.34644958562861e-05
Agrotis ipsilon multiple nucleopolyhedrovirus,Naldaviricetes,AgipMNPV,invertebrates,DNA,circular,0.027177089421391,0.837771663014528
Tenacibaculum phage PTm1,Duplodnaviria,HYO65,bacteria,DNA,linear,-0.409351256575102,0.00140230177601381
Basavirus sp.,unclassified viruses,BVF66,vertebrates,DNA,linear,-0.301753360607832,0.0205498086769797
Pseudomonas phage Zuri,Duplodnaviria,HYP85,bacteria,DNA,linear,0.615721800116891,4.14148551491704e-07
Okra yellow mosaic Mexico virus,Monodnaviria,OYMMV,land plants,DNA,circular,-0.258270017533606,0.0485409479802451
Okra yellow mosaic Mexico virus,Monodnaviria,OYMMV,land plants,DNA,linear,-0.258270017533606,0.0485409479802451
Hubei lepidoptera virus 3,Riboviria,BVA87,invertebrates,RNA,linear,-0.572764465225015,3.3248941279354e-06
Blueberry red ringspot virus,Riboviria,BRRVgp,land plants,DNA,circular,-0.433606078316774,0.000675696744614481
Fusarium solani virus 1,NA,MFV,NA,ds-RNA,linear,0.169725306838106,0.198217494211151
Staphylococcus phage phiBU01,Duplodnaviria,SF20,bacteria,DNA,circular,-0.439859731151374,0.000555104833292853
Barmah Forest virus,Riboviria,BFVgp,human:invertebrates:vertebrates,ss-RNA,linear,-0.254354178842782,0.0521478366106809
Chilli leaf curl alphasatellite,Alphasatellitidae,HH38,land plants,DNA,circular,-0.489758879958517,0.00013441522560191
Burkholderia phage Bcep176,Duplodnaviria,BCPBV176,bacteria,DNA,linear,0.334599649327879,0.00989510473143831
Lauvirus lau218,NA,AV947,NA,NA,NA,-0.354821741671537,0.00607923288375072
Wuhan Insect virus 6,Riboviria,BJD85,invertebrates,RNA,linear,-0.377615429573349,0.00338665139057718
Abutilon mosaic Bolivia virus,Monodnaviria,AbMBoV,land plants,DNA,circular,-0.256107539450614,0.0505065595651683
Caulobacter phage Cr30,Duplodnaviria,OZ74,bacteria,DNA,linear,-0.21385154880187,0.103833690079233
Myzus persicae densovirus 1,NA,MpdVgp,NA,DNA,linear,-0.535476329631794,1.70181098381275e-05
Mycobacterium phage Bobi,Duplodnaviria,PBI,bacteria,DNA,linear,0.46750438340152,0.000222949307102507
Medicago sativa amalgavirus 1,Riboviria,EXJ44,land plants,RNA,linear,-0.115897136177674,0.381060002378692
Chagres virus,Riboviria,KM572,human,RNA,linear,-0.312974868497954,0.0161408971583485
Icoaraci virus,Riboviria,KM604,vertebrates,ss-RNA,linear,-0.270660432495617,0.0384553312453202
Tomato pseudo-curly top virus,Monodnaviria,TPCTVgp,land plants,ss-DNA,circular,-0.434015195791935,0.000667133606005347
Po-Circo-like virus 41,Monodnaviria,QQ47,vertebrates,ss-DNA,circular,-0.159191081151154,0.23619578454915
Lake Sarah-associated circular molecule 6,unclassified viruses,A0R79,invertebrates,ss-DNA,circular,-0.0793977510958643,0.567189937300883
Grapevine badnavirus 1,Riboviria,KM646,land plants,DNA,circular,-0.409468147282291,0.00139754393863385
Triavirus tv3a,Duplodnaviria,ST3AORF0,bacteria,NA,NA,-0.455639976621859,0.000332702840802159
Mycobacterium phage Conspiracy,Duplodnaviria,X823,bacteria,DNA,linear,0.558036236119229,6.46258683619235e-06
Asama virus,Riboviria,D1P02,vertebrates,RNA,linear,-0.485563997662186,0.000118045969366157
Beet cryptic virus 2,Riboviria,D1S87,land plants,RNA,linear,-0.11104617182934,0.401414605210224
Lake Sarah-associated circular virus-42,unclassified viruses,A0S26,invertebrates,ss-DNA,circular,-0.151558030083977,0.255342662974387
Drosophila unispina virus 1,Riboviria,FLA25,invertebrates,RNA,linear,-0.439392168322618,0.000563392508775502
Flavobacterium phage Fpv3,Duplodnaviria,BOW80,bacteria,DNA,linear,-0.379427235534775,0.00322731092343305
Bdellovibrio phage phiMH2K,Monodnaviria,phiMH2Kp,bacteria,ss-DNA,circular,-0.00175336060783168,0.989626697905729
Chaetoceros socialis forma radians RNA virus 1,NA,CSfrRV,NA,RNA,linear,-0.316949152542373,0.0147879992761801
Pantoea phage LIMEzero,Duplodnaviria,LIMEzero,bacteria,DNA,linear,0.405552308591467,0.00156510576223356
Salmonella virus VSt472,Duplodnaviria,KGB44,bacteria,DNA,linear,-0.233372296902396,0.0753894485780256
Culex Iflavi-like virus 4,Riboviria,EXK71,invertebrates,RNA,linear,-0.504909409701929,5.75530870275946e-05
Wuhan insect virus 8,Riboviria,B1T76,invertebrates,RNA,linear,-0.329456458211572,0.0111487660215993
Freesia sneak ophiovirus,Riboviria,KM450,land plants,RNA,linear,-0.350444292549556,0.00840513332353283
Squirrelpox virus,NA,SQPV,NA,DNA,linear,0.428696668614845,0.000786535695230915
Tuberose mild mottle virus,Riboviria,FK994,land plants,RNA,linear,-0.415137346580947,0.00118353884835701
Lettuce chlorosis virus,Riboviria,LCV,land plants,RNA,linear,-0.428462887200468,0.000792203443975643
Lettuce chlorosis virus,Riboviria,LCV,land plants,ss-RNA,linear,-0.428462887200468,0.000792203443975643
Torque teno Tadarida brasiliensis virus,Anelloviridae,LP70,vertebrates,DNA,circular,-0.287075447238787,0.0307323877132561
Escherichia phage SRT8,Duplodnaviria,FDI72,bacteria,DNA,linear,-0.113325540619521,0.391771898294913
Eggerthella phage PMBT5,Duplodnaviria,HOT76,bacteria,DNA,linear,-0.119111630625365,0.367920831582683
Estero Real virus,Riboviria,KM536,invertebrates,RNA,linear,-0.360198714202221,0.00531411630868706
Diachasmimorpha longicaudata entomopoxvirus,NA,FLA14,NA,DNA,linear,-0.370426651081239,0.00409012269602577
Human papillomavirus type 50,Monodnaviria,NA,human,DNA,linear,-0.437580362361192,0.000596581783938671
Bacillus phage BSP38,Duplodnaviria,HWB82,bacteria,DNA,linear,-0.372822910578609,0.00384241874247074
Kadipiro virus,Riboviria,KDV,invertebrates,ds-RNA,linear,-0.312098188194039,0.0164532665060933
Kadipiro virus,Riboviria,KDV,invertebrates,RNA,linear,-0.312098188194039,0.0164532665060933
Xinzhou nematode virus 6,Riboviria,FLA31,invertebrates,RNA,linear,-0.101285797779077,0.444255894895038
Escherichia phage pro147,Duplodnaviria,AVT36,bacteria,DNA,linear,-0.0327878433664524,0.804849796151141
Bosavirus MS-2016a,Monodnaviria,BSB08,vertebrates,DNA,linear,-0.327586206896552,0.0116377199304838
Klebsiella phage Sushi,Duplodnaviria,AVT24,bacteria,DNA,linear,-0.0515488018702513,0.697504460273954
Shahe heteroptera virus 1,Riboviria,BWU00,invertebrates,RNA,linear,-0.31291642314436,0.016161561861577
Spiromicrovirus SpV4,Monodnaviria,Sp,bacteria,NA,NA,-0.410098522167488,0.00166902917430991
Mycobacterium phage BPBiebs31,Duplodnaviria,FGG18,bacteria,DNA,linear,0.536645236703682,1.62091347605427e-05
Wuhan spider virus 5,Riboviria,B1T67,invertebrates,RNA,linear,-0.384628872004676,0.00280632426216137
Erwinia phage vB EamM Yoloswag,NA,HOR66,NA,NA,NA,-0.0309760374050263,0.815446723978854
Citrobacter phage PhiZZ23,Duplodnaviria,KMB93,bacteria,DNA,circular,-0.298305084745763,0.0220960259493965
Mycobacterium phage Adzzy,Duplodnaviria,ADZZY,bacteria,DNA,linear,0.61531268264173,4.22873404200239e-07
Salmonella phage vB SenS-Ent1,NA,F491,NA,NA,NA,-0.158094681472823,0.23107827360158
Yam latent virus,Riboviria,TI02,land plants,RNA,linear,-0.432904734073641,0.000690609032965583
Mycobacterium phage Harley,Duplodnaviria,I5H45,bacteria,DNA,linear,0.476095850379895,0.000165424585489097
Fusarium poae mitovirus 3,Riboviria,BHR81,fungi,RNA,linear,-0.397311513734658,0.00197810873144358
Achromobacter phage vB AxyP 19-32 Axy12,NA,KMC56,NA,NA,NA,0.6291642314436,2.06260948279629e-07
Marine snail associated circular virus,Monodnaviria,AMR07,invertebrates,DNA,circular,-0.310461718293396,0.0170502798401743
Arabis mosaic virus large satellite RNA,Satellites,AMVSRgp1,invertebrates,ss-RNA,linear,-0.245704266510812,0.060896027395169
Beet pseudoyellows virus,Riboviria,BPYV,land plants,RNA,linear,-0.361016949152542,0.00520547337881304
Beet pseudoyellows virus,Riboviria,BPYV,land plants,ss-RNA,linear,-0.361016949152542,0.00520547337881304
Lactococcus phage bIL309,Duplodnaviria,bIL309p,bacteria,DNA,linear,-0.398947983635301,0.00188905378584323
Shahe yuevirus-like virus 1,Riboviria,BWT73,invertebrates,RNA,linear,-0.43234181303639,0.000783651558761622
Escherichia phage K1F,Duplodnaviria,CKV1F,bacteria,DNA,linear,0.243249561659848,0.0635847100506875
Staphylococcus phage SAP11,Duplodnaviria,KMD33,bacteria,DNA,circular,-0.47229690239626,0.000188929491525319
Triumfetta yellow mosaic virus,Monodnaviria,D1T86,land plants,DNA,circular,-0.349035651665693,0.00700948692347619
Human mastadenovirus B,Varidnaviria,HAdVB1,human:vertebrates,DNA,linear,-0.103097603740503,0.436115514819916
Shigella phage Sf24,Duplodnaviria,FDJ03,bacteria,DNA,linear,-0.288720046756283,0.0269237405818957
Tioman virus,Riboviria,TiVgp,vertebrates,ss-RNA,linear,-0.420806545879603,0.000999584189620193
Salmonella phage BSP101,Duplodnaviria,HYP09,bacteria,DNA,circular,-0.127410870835769,0.335297366509448
Donkey orchid virus A,Riboviria,L595,land plants,RNA,linear,-0.495791934541204,8.1141691607674e-05
Escherichia phage C5,Duplodnaviria,HOU34,bacteria,DNA,linear,0.138047925189947,0.296246496199953
Porcine adenovirus 5,Varidnaviria,PAdVCgp,vertebrates,DNA,linear,-0.0468731735827002,0.723799463338777
Carnation mottle virus,Riboviria,CarMVgp,land plants,RNA,linear,-0.458036236119229,0.000307195780405741
Pyrobaculum spherical virus,Globuloviridae,PyrSV,archaea,DNA,linear,-0.249853886616014,0.0565611884955385
Mycobacterium phage Collard,Duplodnaviria,I5G72,bacteria,DNA,linear,0.489421390999416,0.000102613656414125
Salmonella phage 118970 sal4,NA,BH752,NA,NA,NA,-0.219053185271771,0.0955443913752597
Tofla virus,Riboviria,AV646,invertebrates,cRNA,linear,-0.196843950905903,0.13488014008532
Klebsiella phage vB KpnM KpS110,NA,HOS86,NA,NA,NA,-0.062010520163647,0.639981770214319
Murid betaherpesvirus 8,Duplodnaviria,F527,vertebrates,DNA,linear,-0.375978959672706,0.00353655424161735
Salmonella phage SG1,Duplodnaviria,KMC28,bacteria,DNA,linear,-0.315780245470485,0.0151753641253215
Tomato mottle Taino virus,Monodnaviria,TomTv,land plants,ss-DNA,circular,-0.259672706019871,0.0472999261268502
Gordonia phage Nordenberg,Duplodnaviria,KNU21,bacteria,DNA,linear,0.459614260666277,0.000291389150419416
Aeromonas phage 50AhydR13PP,Duplodnaviria,KNT90,bacteria,DNA,linear,-0.234774985388662,0.0736134812789566
Shahe picorna-like virus 11,Riboviria,BWT88,invertebrates,RNA,linear,-0.339918176504968,0.00872976152828226
Aeromonas phage CF7,Duplodnaviria,HOS18,bacteria,DNA,linear,0.609643483343074,5.63353466142084e-07
Scheffersomyces segobiensis virus L,Riboviria,D1S25,fungi,RNA,linear,-0.441631548186656,0.000587899130471881
Diamondback moth iflavirus,Riboviria,B9W75,invertebrates,RNA,linear,-0.462419637638808,0.000265113973946408
Sinorhizobium phage phiM12,Duplodnaviria,AB690,bacteria,DNA,linear,0.315488018702513,0.0152735609716768
Pseudomonas phage Henninger,Duplodnaviria,HOS76,bacteria,DNA,linear,0.665225014611339,2.55481644900398e-08
Sida mottle Alagoas virus,Monodnaviria,H660,land plants,DNA,circular,-0.168673290473407,0.2010440677488
Halorubrum virus HSTV-4,NA,M1M41,NA,DNA,linear,0.375043834015196,0.00362483886377327
Circoviridae 14 LDMD-2013,NA,QS49,NA,DNA,circular,-0.41388538558553,0.00135682076362875
Cricket paralysis virus,Riboviria,CrPVgp,invertebrates,RNA,linear,-0.33448275862069,0.00992217098793868
Proteus phage PM 85,Duplodnaviria,ACQ39,bacteria,DNA,linear,-0.221624780829924,0.091642779076406
Sida chlorotic leaf virus,NA,NA,NA,DNA,circular,-0.318702513150205,0.0142229536961805
Mycobacterium phage Noelle,Duplodnaviria,KIY75,bacteria,DNA,linear,0.588895382817066,1.55930426993165e-06
Staphylococcus phage phiNM3,Duplodnaviria,NM3,bacteria,DNA,linear,-0.443834015195792,0.0004890137704595
Gordonia phage SoilAssassin,Duplodnaviria,SEA,bacteria,DNA,linear,0.534015195791935,1.80823119140697e-05
Lactobacillus phage LfeSau,Duplodnaviria,AXJ17,bacteria,DNA,linear,-0.172530683810637,0.190819471370291
Callinectes sapidus associated circular virus,Monodnaviria,AMQ90,invertebrates,DNA,circular,0.270355901442677,0.0404337935501246
Sewage-associated circular DNA molecule-2,NA,SP78,NA,DNA,circular,-0.360198889916744,0.0133108938313879
Beihai razor shell virus 3,Riboviria,BVJ80,invertebrates,RNA,linear,-0.197019286966686,0.134527707823736
Arthrobacter phage vB ArS-ArV2,NA,ArV2,NA,NA,NA,0.483985973115137,0.000124954218183013
Vibrio phage PWH3a-P1,Duplodnaviria,VPIG,bacteria,DNA,linear,-0.36031560490941,0.00529847423853098
Puma lentivirus 14,Riboviria,D1R96,vertebrates,DNA,linear,-0.4416715371128,0.000524027605781617
Lesavirus 2,Riboviria,TP60,vertebrates,RNA,linear,-0.340385739333723,0.00863330234718629
Vibrio phage vB VpaP KF2,NA,HOT90,NA,NA,NA,0.0492109877264758,0.710609755733519
Kampung Karu virus,Riboviria,EXL14,invertebrates,RNA,linear,-0.342957334891876,0.00811926450242995
Red clover powdery mildew-associated totivirus 7,Riboviria,AT141,fungi,RNA,linear,-0.397954412624196,0.00194268305734489
Escherichia phage T1,Duplodnaviria,T1p,bacteria,DNA,linear,-0.199181765049679,0.130238206512188
Beihai barnacle viurs 1,Riboviria,AS010,invertebrates,RNA,linear,-0.516832261835184,3.62308730096674e-05
Mycobacterium phage Phatniss,Duplodnaviria,PHATNISS,bacteria,DNA,linear,0.458796025715956,0.000299489788693683
Escherichia phage LL5,Duplodnaviria,HOT39,bacteria,DNA,linear,-0.301227352425482,0.02077952537453
Sclerotinia sclerotiorum botybirnavirus 1,Riboviria,ABY37,fungi,RNA,linear,0.0142022209234366,0.914884464958497
Staphylococcus phage phiSa2wa st78,NA,KMD47,NA,NA,NA,-0.466627703097604,0.000229749184270048
Tomato leaf curl Ranchi betasatellite,Tolecusatellitidae,KM697,land plants,DNA,circular,-0.348837209302326,0.0223865124370114
Tomato curly stunt virus,Monodnaviria,ToCSVgp,land plants,ss-DNA,circular,-0.205786090005845,0.117780654765828
Sclerotinia sclerotiorum negative-stranded RNA virus 4,Riboviria,FLA24,fungi,RNA,linear,-0.392694330800701,0.00225003794367118
Menghai flavivirus,Riboviria,B5J97,invertebrates,RNA,linear,-0.154763296317943,0.241152211398771
Tres Almendras virus,Riboviria,KM598,invertebrates,RNA,linear,-0.419403857393337,0.00104251404238102
Goutanap virus,Riboviria,NZ92,invertebrates,RNA,linear,-0.241320864991233,0.0657639615671406
Streptomyces phage Jay2Jay,Duplodnaviria,PBI,bacteria,DNA,linear,0.177615429573349,0.177922041344165
Gordonia phage TinaLin,NA,KDJ60,NA,DNA,linear,0.401928696668615,0.00173605067352627
Streptococcus phage SMP,Duplodnaviria,B189,bacteria,DNA,linear,-0.262945645821157,0.0445056011639206
Phlomis mottle virus,NA,FK982,NA,RNA,linear,-0.42676797194623,0.000834415251453645
Aeromonas phage AS-zj,Duplodnaviria,HWB28,bacteria,DNA,linear,-0.274284044418469,0.0358593083590048
Sida yellow golden mosaic virus,NA,L1Q68,NA,DNA,circular,-0.207714786674459,0.114321218498535
Orthopoxvirus Abatino,Varidnaviria,KM543,vertebrates,DNA,linear,-0.45978959672706,0.000289679602713005
Armadillidium vulgare iridescent virus,Varidnaviria,IIV31,invertebrates,DNA,circular,-0.450379894798364,0.00039561702653136
Singapore grouper iridovirus,Varidnaviria,ORF,vertebrates,DNA,linear,-0.275277615429573,0.0351736257654327
Yersinia phage phiYeO3-12,Duplodnaviria,phiYeO3,bacteria,DNA,linear,0.254880187025132,0.0516509293784627
Streptomyces phage EGole,Duplodnaviria,KNU49,bacteria,DNA,linear,0.21198129748685,0.106947299542421
Pseudogymnoascus destructans partitivirus-pa,Riboviria,BBC42,fungi,RNA,linear,-0.199473991817651,0.129666612485861
Hubei virga-like virus 18,Riboviria,BVF84,invertebrates,RNA,linear,0.0194623027469316,0.883486311576218
Hollyhock yellow vein virus,Monodnaviria,KM663,land plants,DNA,circular,-0.30479251899474,0.019264573587534
Pseudomonas phage PT5,Duplodnaviria,HOS06,bacteria,DNA,linear,0.60905902980713,5.80136017263134e-07
Bromus-associated circular DNA virus 4,unclassified viruses,TH93,land plants,ss-DNA,circular,0.0376972530683811,0.776316783043218
Pseudomonas phage Phabio,Duplodnaviria,MZD05,bacteria,DNA,circular,-0.0838106370543542,0.526988239507987
Simian adenovirus 1,Varidnaviria,SAdV,human:vertebrates,DNA,linear,0.162536528345997,0.218107599109264
Chicory yellow mottle virus satellite RNA,NA,ChYMVSRgp1,NA,ss-RNA,linear,-0.234274193548387,0.203830978301497
Halorubrum pleomorphic virus 10,Monodnaviria,HOV14,archaea,DNA,circular,-0.244886031560491,0.0617818100773976
Puniceispirillum phage HMO-2011,Duplodnaviria,N386,bacteria,DNA,circular,-0.264932787843367,0.0428766142683285
Escherichia phage NC29,Monodnaviria,CNV29,bacteria,DNA,circular,-0.0659848042080655,0.618651400121785
Hepacivirus P,Riboviria,EXL41,vertebrates,RNA,linear,-0.207773232028054,0.11421762382002
Arthrobacter phage Huntingdon,Duplodnaviria,KDJ00,bacteria,DNA,linear,0.569842197545295,3.80130456004102e-06
Lishi Spider Virus 2,Riboviria,BJD81,invertebrates,RNA,linear,-0.428527484696546,0.000879884265333458
Klebsiella phage NJS1,Duplodnaviria,HOT78,bacteria,DNA,linear,-0.0326709526592636,0.805532431401776
Beihai mantis shrimp virus 4,Riboviria,BVF12,invertebrates,RNA,linear,-0.220514319111631,0.0933118915944512
Mycobacterium phage JoeDirt,Duplodnaviria,FGG55,bacteria,DNA,linear,0.286557568673291,0.0281283296259847
Salmonella phage OSY-STA,Duplodnaviria,HWC64,bacteria,DNA,linear,-0.189012273524255,0.151345278901784
Vibrio phage Cody,Duplodnaviria,KNV07,bacteria,DNA,circular,-0.23781414377557,0.0698804940752784
Pseudomonas phage vB PaeM SCUT-S1,NA,HWC01,NA,NA,NA,0.41385154880187,0.00122929684426837
Salmonella phage Segz 1,NA,KGB40,NA,NA,NA,-0.212974868497954,0.105284291535279
Sanxia water strider virus 13,Riboviria,BWU11,invertebrates,RNA,linear,-0.120338983050847,0.362977904802311
Psittacine adenovirus 3,Varidnaviria,SC17,vertebrates,DNA,linear,-0.110870835768556,0.402162089626229
Cynomolgus cytomegalovirus,Duplodnaviria,BWV06,vertebrates,DNA,linear,-0.170660432495617,0.195728993459237
Lactobacillus prophage Lj965,Duplodnaviria,Ljo,bacteria,DNA,linear,-0.406604324956166,0.00151839870944262
Soybean chlorotic blotch virus,Monodnaviria,SoCBV,land plants,ss-DNA,circular,-0.373816481589714,0.00374368534571339
Bacillus phage Stills,Duplodnaviria,CPT_Stills1,bacteria,DNA,linear,-0.257860900058445,0.0489079158594208
Bastrovirus/VietNam/Rat/16715 26,NA,BVE98,NA,NA,NA,0.410578609000585,0.00135306501993124
Lactococcus phage bIBB29,NA,bIBB29,NA,DNA,linear,-0.38801870251315,0.00255908061361859
Subterranean clover stunt C2 alphasatellite,Alphasatellitidae,SCSVs2gp1,land plants,DNA,circular,-0.239226060475561,0.070673885102828
Rhizobium phage RHEph04,Duplodnaviria,FDH25,bacteria,DNA,linear,0.343074225599065,0.00809655009882311
Erwinia phage Ea35-70,Duplodnaviria,Ea357,bacteria,DNA,linear,0.031677381648159,0.811340648631534
Stretch Lagoon orbivirus,Riboviria,SLOV,invertebrates,RNA,linear,-0.570192869666862,3.74090970519823e-06
Lake Sinai virus 1,Riboviria,CKM81,invertebrates,RNA,linear,0.107773232028054,0.41550206266922
Mycobacterium phage Quico,Duplodnaviria,QUICO,bacteria,DNA,linear,0.451139684395091,0.000385904228455462
Shigella phage Sf12,Duplodnaviria,HOR99,bacteria,DNA,linear,-0.244301578024547,0.0624208848460909
Hubei rhabdo-like virus 2,Riboviria,BWS28,invertebrates,RNA,linear,-0.556808883693746,6.82267258922145e-06
Lonomia obliqua multiple nucleopolyhedrovirus,Naldaviricetes,FLA55,invertebrates,DNA,circular,-0.511221507890123,4.51344605073542e-05
Beihai noda-like virus 5,Riboviria,BVB56,invertebrates,RNA,linear,-0.319812974868498,0.0138748184692577
Kyasanur Forest disease virus,Riboviria,D1Y39,human:invertebrates:vertebrates,RNA,linear,-0.0368790181180596,0.781052898415661
Nora virus,Riboviria,NoraV,invertebrates,ss-RNA,linear,-0.450321449444769,0.000396373330814589
Odonata-associated circular virus-19,unclassified viruses,EXI80,invertebrates,ss-DNA,circular,-0.18135593220339,0.16884862597742
Streptococcus phage phiNJ2,Duplodnaviria,phiNJ2,bacteria,DNA,circular,-0.327703097603741,0.0116066237217229
Xapuri virus,Riboviria,KM613,vertebrates,RNA,linear,-0.40718877849211,0.00149299629512628
Primate bocaparvovirus 3,Monodnaviria,KM739,vertebrates,DNA,linear,-0.378082992402104,0.0033448744181638
Rodent associated circovirus 4,Monodnaviria,KM494,vertebrates,DNA,linear,-0.0656185919343814,0.630001975545808
Nodularia phage vB NspS-kac65v151,NA,HWC12,NA,NA,NA,-0.368848626534191,0.00426088974932818
Sewage associated gemycircularvirus 3,Monodnaviria,SQ07,vertebrates,DNA,circular,0.0327878433664524,0.80484979615114
Chicken picornavirus 2,Riboviria,KW73,vertebrates,RNA,linear,-0.190064289888954,0.149050218187836
Wenzhou qinvirus-like virus 2,NA,BWS52,NA,RNA,linear,0.210403272939801,0.109630369845268
Mycobacterium phage HC,Duplodnaviria,KNT11,bacteria,DNA,circular,0.496610169491526,7.87070797357868e-05
Lake Sarah-associated circular molecule 2,unclassified viruses,A0R83,invertebrates,ss-DNA,circular,-0.43163737280296,0.0029786763329178
Caulobacter phage Lullwater,Duplodnaviria,HOS13,bacteria,DNA,linear,0.389362945645821,0.00246655939865758
Invertebrate iridovirus 25,NA,IIV25,NA,DNA,circular,-0.398012857977791,0.00193949095791505
Vibrio phage PV94,Duplodnaviria,ACQ26,bacteria,DNA,linear,-0.126008182349503,0.34067897136619
Sulfolobus islandicus rudivirus 3,Adnaviria,BHS13,archaea,DNA,linear,-0.451490356516657,0.000381495262224441
Mycobacterium phage RidgeCB,Duplodnaviria,RIDGECB,bacteria,DNA,linear,0.524722384570427,2.64420776133151e-05
Bacillus phage Bam35c,Varidnaviria,Bam35cp,bacteria,DNA,linear,-0.486849795441263,0.000112679080748382
Nam Dinh virus,Riboviria,NaDiV,invertebrates,RNA,linear,-0.173699590882525,0.18779648639422
Eupatorium yellow vein betasatellite,Tolecusatellitidae,EyvvDbgp1,land plants,ss-DNA,circular,-0.0859760394644116,0.577800538613057
Edwardsiella phage PEi20,Duplodnaviria,AU156,bacteria,DNA,linear,-0.0691992986557569,0.601625274265481
Lynx canadensis associated microvirus CLP 9413,NA,EXH76,NA,DNA,circular,0.205211304122375,0.125519657077835
Mycobacterium phage Lopton,Duplodnaviria,JMN71,bacteria,DNA,linear,0.52969023962595,2.16073150630145e-05
Serra do Navio virus,Riboviria,FLB17,invertebrates,ss-RNA,linear,-0.464523670368206,0.000246851832279603
Leptosphaeria biglobosa mitovirus 1,Riboviria,EXL45,fungi,RNA,linear,-0.459193438140807,0.000427927564122613
crAssphage cr10 1,NA,KNV33,NA,NA,NA,-0.386791350087668,0.00264625432753816
Mycobacterium phage MPlant7149,Duplodnaviria,JMN78,bacteria,DNA,linear,0.53728813559322,1.57796418392012e-05
Ambe virus,Riboviria,B2K46,invertebrates,RNA,linear,-0.361016949152542,0.00520547337881304
Yersinia phage fHe-Yen9-04,NA,FDJ41,NA,DNA,linear,-0.360841613091759,0.00522858728917458
Burkholderia phage BcepF1,Duplodnaviria,BcepF1,bacteria,DNA,linear,0.228521332554062,0.0817968832928776
Coxsackievirus A2,Riboviria,D1P31,human:vertebrates,ss-RNA,linear,-0.307364114552893,0.0182313987986793
Bovine adenovirus 3,Varidnaviria,BAdVBgp,vertebrates,DNA,linear,-0.0350087668030392,0.791907986436817
Neodiprion sertifer nucleopolyhedrovirus,Naldaviricetes,NeseNPV,invertebrates,DNA,circular,-0.462828755113969,0.000261468931325508
Vectrevirus AAPEc6,Duplodnaviria,HOR20,bacteria,NA,NA,-0.186557568673291,0.156802853446461
Salmonella phage bombadil,Duplodnaviria,HWD22,bacteria,DNA,linear,-0.193045002922268,0.142688958180118
Muscovy duck parvovirus,Monodnaviria,MDPV,vertebrates,DNA,linear,-0.403506721215663,0.00165964431083167
Cyanophage KBS-P-1A,Duplodnaviria,CYZG,bacteria,DNA,linear,-0.04593804792519,0.729098195576372
Vibrio phage VP2,Duplodnaviria,VP2p,bacteria,DNA,linear,-0.0656341320864991,0.620521215556382
Wuhan Fly Virus 1,NA,BJD31,NA,cRNA,linear,-0.384395090590298,0.00282413688059594
Wuhan Fly Virus 1,NA,BJD31,NA,RNA,linear,-0.384395090590298,0.00282413688059594
Klebsiella phage K11,Duplodnaviria,ASC,bacteria,DNA,linear,0.412156633547633,0.00129205324398424
Beihai sobemo-like virus 16,Riboviria,BWV02,invertebrates,RNA,linear,0.103272939801286,0.435332234740999
Ganda bee virus,Riboviria,FLB18,invertebrates,RNA,linear,-0.397194623027469,0.0019846117022409
Paenibacillus phage Vegas,Duplodnaviria,VEGAS,bacteria,DNA,linear,-0.533196960841613,1.87050545129241e-05
Escherichia phage K1G,Duplodnaviria,APL43,bacteria,DNA,circular,0.0495616598480421,0.708638495044231
Bruges virus,Riboviria,CAB98,vertebrates,cRNA,linear,-0.45020455873758,0.000397889900467174
Propionibacterium phage PAC1,Duplodnaviria,PAC1,bacteria,DNA,linear,0.0701928696668615,0.596404894507687
Bacillus phage Baseball field,NA,KNV63,NA,NA,NA,-0.485496324094866,0.000135912779745853
Carnation ringspot virus,Riboviria,CRSV,land plants,ss-RNA,linear,-0.300701344243133,0.0210114299991229
Bukalasa bat virus,NA,FK857,NA,RNA,linear,-0.335507090344212,0.0103495960436266
Calla lily chlorotic spot virus,Riboviria,C1172,land plants,RNA,linear,-0.42197545295149,0.000965038402952148
Escherichia phage vB EcoM-ep3,NA,ep3,NA,NA,NA,0.0984804208065459,0.457026453548751
pigeon mesivirus 1,Riboviria,D1T60,vertebrates,RNA,linear,-0.107656341320865,0.416010421785266
Wenzhou tombus-like virus 1,Riboviria,BXP37,invertebrates:vertebrates,RNA,linear,0.155003229874804,0.244600326643016
Phormidium phage Pf-WMP4,Duplodnaviria,CPV4,bacteria,DNA,linear,0.125657510227937,0.34203279837073
